Year,Region,Current residence,Population (1yr ago) Est,Same house (1yr ago) Est,Same state of residence (1yr ago) Est,Different state of residence (1yr ago) Total Est,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Abroad(1yr ago) Est
2018.0,Northeast_states,Maine,1324095.0,1143612.0,142453.0,34706.0,0.0,47.0,765.0,0.0,850.0,840.0,1734.0,29.0,235.0,2082.0,235.0,55.0,308.0,180.0,204.0,0.0,67.0,512.0,38.0,,377.0,5775.0,1320.0,75.0,214.0,349.0,246.0,0.0,23.0,4731.0,389.0,97.0,2909.0,1049.0,134.0,788.0,217.0,181.0,1393.0,317.0,503.0,71.0,583.0,2386.0,142.0,997.0,874.0,283.0,0.0,102.0,0.0,3324.0
2018.0,South_states,Maryland,5974521.0,5133916.0,630955.0,163216.0,647.0,485.0,2240.0,785.0,7924.0,1168.0,1890.0,5811.0,21093.0,11989.0,3676.0,892.0,470.0,1827.0,1048.0,322.0,573.0,745.0,1281.0,990.0,,1753.0,1635.0,284.0,888.0,1253.0,223.0,576.0,120.0,1065.0,6333.0,1195.0,8372.0,6582.0,291.0,3098.0,831.0,916.0,12461.0,138.0,2515.0,154.0,1670.0,7408.0,1852.0,44.0,26522.0,1881.0,5422.0,1731.0,147.0,46434.0
2018.0,Northeast_states,Massachusetts,6834364.0,5970065.0,653940.0,144042.0,483.0,241.0,1554.0,222.0,13901.0,1174.0,14224.0,887.0,1557.0,9455.0,2988.0,257.0,44.0,3415.0,819.0,79.0,747.0,399.0,633.0,3188.0,3439.0,,2118.0,1578.0,78.0,1227.0,216.0,194.0,321.0,11251.0,8026.0,78.0,19960.0,3170.0,0.0,1123.0,261.0,1013.0,6014.0,10630.0,1135.0,52.0,2139.0,4116.0,466.0,1979.0,4260.0,2069.0,115.0,703.0,44.0,66317.0
2018.0,Midwest_states,Michigan,9891083.0,8562101.0,1144840.0,139276.0,537.0,1025.0,4028.0,755.0,11239.0,3337.0,1388.0,86.0,256.0,12601.0,1477.0,496.0,509.0,10193.0,12702.0,506.0,1825.0,2221.0,1254.0,410.0,1174.0,3536.0,,1195.0,1124.0,1926.0,527.0,1147.0,1684.0,622.0,2313.0,331.0,6478.0,3767.0,311.0,13625.0,396.0,1265.0,4263.0,42.0,2627.0,354.0,4017.0,7873.0,599.0,142.0,4095.0,3169.0,115.0,3613.0,101.0,44866.0
2018.0,Midwest_states,Minnesota,5543490.0,4781432.0,635928.0,100270.0,976.0,363.0,2176.0,621.0,4915.0,2605.0,342.0,0.0,141.0,5720.0,727.0,241.0,544.0,8454.0,1388.0,4626.0,936.0,443.0,382.0,249.0,1330.0,819.0,2043.0,,415.0,2483.0,812.0,1830.0,848.0,110.0,231.0,406.0,3536.0,1934.0,9793.0,1134.0,1111.0,974.0,1282.0,202.0,151.0,3896.0,1220.0,4757.0,626.0,85.0,810.0,5889.0,0.0,15270.0,424.0,25860.0
2018.0,South_states,Mississippi,2955717.0,2582347.0,297788.0,68000.0,8401.0,191.0,674.0,696.0,2066.0,284.0,0.0,0.0,99.0,3369.0,3358.0,489.0,0.0,3245.0,2858.0,70.0,583.0,251.0,12049.0,52.0,391.0,346.0,675.0,28.0,,1991.0,432.0,59.0,1023.0,0.0,154.0,0.0,1319.0,357.0,71.0,799.0,413.0,55.0,1071.0,0.0,658.0,0.0,10004.0,5853.0,468.0,0.0,695.0,128.0,285.0,1243.0,747.0,7582.0
2018.0,Midwest_states,Missouri,6053109.0,5161553.0,720626.0,152326.0,2378.0,882.0,2009.0,8166.0,8156.0,8782.0,361.0,235.0,461.0,7112.0,1919.0,322.0,276.0,20041.0,3462.0,4904.0,21037.0,2042.0,2063.0,182.0,682.0,497.0,2369.0,2160.0,2814.0,,499.0,2071.0,1481.0,0.0,1628.0,605.0,3210.0,2432.0,190.0,2286.0,4602.0,546.0,1605.0,40.0,2259.0,522.0,3153.0,10799.0,2886.0,236.0,3228.0,2521.0,59.0,1546.0,610.0,18604.0
2018.0,West_states,Montana,1051757.0,891554.0,113693.0,43375.0,540.0,986.0,1787.0,19.0,4991.0,2921.0,323.0,0.0,0.0,1263.0,892.0,225.0,2157.0,549.0,391.0,142.0,1031.0,26.0,106.0,54.0,0.0,413.0,142.0,2505.0,0.0,187.0,,93.0,251.0,257.0,90.0,1118.0,183.0,372.0,1978.0,733.0,239.0,3284.0,271.0,0.0,675.0,375.0,240.0,2198.0,891.0,56.0,248.0,5450.0,0.0,774.0,1949.0,3135.0
2018.0,Midwest_states,Nebraska,1905843.0,1602056.0,239853.0,54579.0,268.0,34.0,1351.0,236.0,4148.0,4835.0,348.0,0.0,100.0,1111.0,982.0,420.0,19.0,1696.0,669.0,6072.0,4355.0,607.0,199.0,7.0,579.0,512.0,665.0,2242.0,353.0,2835.0,108.0,,567.0,0.0,255.0,455.0,770.0,1362.0,393.0,771.0,795.0,818.0,285.0,70.0,72.0,2753.0,920.0,6429.0,448.0,0.0,674.0,654.0,41.0,336.0,960.0,9355.0
2018.0,West_states,Nevada,3003761.0,2495398.0,366629.0,127362.0,397.0,458.0,6999.0,49.0,50707.0,3724.0,198.0,98.0,43.0,4018.0,1511.0,4959.0,875.0,2938.0,850.0,508.0,412.0,846.0,657.0,0.0,474.0,1992.0,1157.0,1070.0,459.0,1130.0,515.0,671.0,,165.0,2179.0,2121.0,2770.0,903.0,0.0,1913.0,1304.0,3113.0,1559.0,88.0,615.0,3.0,837.0,5129.0,7133.0,26.0,1616.0,6231.0,0.0,1151.0,791.0,14372.0
2018.0,Northeast_states,New Hampshire,1344750.0,1170412.0,119936.0,48367.0,158.0,45.0,704.0,569.0,1263.0,385.0,1298.0,238.0,95.0,3806.0,533.0,151.0,0.0,0.0,327.0,14.0,41.0,270.0,0.0,4016.0,423.0,20416.0,1002.0,52.0,0.0,359.0,0.0,0.0,453.0,,534.0,102.0,1276.0,1714.0,60.0,258.0,79.0,230.0,1585.0,864.0,1027.0,0.0,246.0,786.0,31.0,1725.0,836.0,198.0,0.0,198.0,0.0,6035.0
2018.0,Northeast_states,New Jersey,8815804.0,7870909.0,722620.0,159846.0,147.0,67.0,1626.0,0.0,9613.0,1505.0,2187.0,1720.0,1187.0,13591.0,1817.0,305.0,255.0,972.0,312.0,163.0,248.0,112.0,353.0,101.0,2788.0,4754.0,960.0,353.0,239.0,336.0,0.0,167.0,204.0,946.0,,0.0,64810.0,6359.0,288.0,4034.0,254.0,195.0,24132.0,223.0,1242.0,0.0,431.0,6504.0,19.0,0.0,2011.0,1507.0,304.0,505.0,0.0,62429.0
