State,Net Migration,Net Migration Change,Net Population Change,Population,Region,Year
Alabama,2725,0.563489208,11718,4841799,3,2014
Alaska,-8443,-11.46094855,-785,736283,4,2014
Arizona,61260,9.168478424,97649,6730413,4,2014
Arkansas,-271,-0.091449135,7992,2967392,3,2014
California,84680,2.203551108,336185,38596972,4,2014
Colorado,48408,9.117125912999999,81066,5350101,4,2014
Connecticut,-6980,-1.9417570259999999,-317,3594524,1,2014
Delaware,5973,6.436203944,8911,932487,3,2014
District of Columbia,6983,10.63744707,11747,662328,3,2014
Florida,260032,13.20243143,300290,19845911,3,2014
Georgia,39859,3.977992348,94799,10067278,3,2014
Hawaii,-1855,-1.314306707,6295,1414538,4,2014
Idaho,9804,6.047525257999999,19906,1631112,4,2014
Illinois,-65886,-5.111479137,-10636,12884493,2,2014
Indiana,1883,0.28611896800000003,24931,6593644,2,2014
Iowa,5857,1.8886398969999998,16353,3109350,2,2014
Kansas,-6531,-2.2545228969999997,7263,2900475,2,2014
Kentucky,-2109,-0.478285086,9690,4414349,3,2014
Louisiana,-1121,-0.241893545,19486,4644013,3,2014
Maine,3314,2.493114595,2504,1330513,1,2014
Maryland,6647,1.118979206,34095,5957283,3,2014
Massachusetts,33166,4.922264625,49281,6762596,1,2014
Michigan,-5336,-0.53782426,16783,9929848,2,2014
Minnesota,9176,1.689162136,37600,5451079,2,2014
Mississippi,-6380,-2.1340722530000003,1757,2990468,3,2014
Missouri,-2775,-0.458794584,15487,6056202,2,2014
Montana,5238,5.146803783999999,8300,1021869,4,2014
Nebraska,3339,1.78336805,14042,1879321,2,2014
Nevada,27307,9.763661958,41658,2817628,4,2014
New Hampshire,5779,4.345173222,6719,1333341,1,2014
New Jersey,-25416,-2.868380702,7553,8864525,1,2014
New Mexico,-11999,-5.738620861,-2705,2089568,4,2014
New York,-61469,-3.1301450660000003,26602,19651049,1,2014
North Carolina,52201,5.279167817,89551,9932887,3,2014
North Dakota,10275,14.08077224,15365,737401,2,2014
Ohio,-649,-0.055998037,26016,11602700,2,2014
Oklahoma,10632,2.750342402,24973,3878187,3,2014
Oregon,28978,7.3494948839999985,40776,3963244,4,2014
Pennsylvania,-2067,-0.16170784800000002,12004,12788313,1,2014
Rhode Island,-70,-0.066318746,855,1055936,1,2014
South Carolina,46059,9.607938172999999,59537,4823617,3,2014
South Dakota,1451,1.715692795,6813,849129,2,2014
Tennessee,29657,4.550167875,46883,6541223,3,2014
Texas,267305,10.00306879,484067,26964333,3,2014
Utah,4911,1.68342926,39239,2936879,4,2014
Vermont,-1433,-2.290191014,-996,625214,1,2014
Virginia,18287,2.208118855,58566,8310993,3,2014
Washington,54672,7.799900704,90670,7054655,4,2014
West Virginia,-3296,-1.779984517,-4425,1849489,3,2014
Wisconsin,-2421,-0.421473051,14771,5751525,2,2014
Wyoming,-2805,-4.816885373,409,582531,4,2014
Puerto Rico,-65089,-18.26303239,-58203,3534874,X,2014
