Year,Region,NAME,Home Value <$50k (%),"Home Value $50k-$99,999k (%)","Home Value $100k-$149,999k (%)","Home Value $150k-$199,999k (%)","Home Value $200k-$299,999k (%)","Home Value $100k-$299,999 (%)","Home Value $300k-$499,999k (%)",Home Value $500k+ (%),"Home Value $500k-$749,999k (%)","Home Value $750k-$999,999k (%)","Home Value $1,000,000+ (%)",Median Home Value ($)(1000X),Median Housing Cost (monthly) ($),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Real Estate Taxes ($),No 2nd or Equity Loan (%),2nd Mortgage or Equity Loan (%),Equity Loan Only (%),2nd Mortgage Only (%),Both 2nd & Equity Loan (%),Population,Net Population Change,Net Migration,Net Migration Change
2010,1,Maine,3.7,12.3,16.5,22.1,26.7,50.9,14.1,4.7,,,,188.5,1289,2.3,7.9,8.7,14.7,25.2,17.9,15.9,7.4,65.808,2211,77.6,21.6,18.3,3.3,0.8,1327629,-729,-1015,
2010,3,Maryland,1.5,2.5,5,10.2,28.4,17.7,33.2,19.2,,,,311,2016,1.4,4.1,4.1,7.7,17.5,16.1,25.1,23.9,98.145,3079,72.8,26,19.7,6.3,1.2,5788645,14851,7396,
2010,1,Massachusetts,1.1,1.2,3.8,8.7,25.7,13.7,39,20.5,,,,337.7,2036,1.8,4.3,4,8.3,17.8,17.1,24.9,21.8,94.695,3624,71.3,27.8,22.4,5.4,0.9,6566307,18522,12435,
2010,2,Michigan,9.8,24.6,22.9,18.1,14.9,65.6,7.4,2.3,,,,132,1288,2.7,9.3,8.2,15.2,23.5,16.7,15.9,8.6,64.74,2410,74.6,24.5,19.3,5.2,0.9,9877510,-6606,-14053,
2010,2,Minnesota,3.3,7.5,15.5,22.7,28.4,45.7,16.7,5.9,,,,202.9,1503,1.4,5.5,6.4,12.3,22.5,19.4,20.1,12.4,77.042,2256,71.6,27.4,20.1,7.2,1,5310828,6901,-1100,
2010,3,Mississippi,14.1,27.4,21,16.3,13.3,64.7,6.2,1.7,,,,118.7,1043,3.8,14.1,10.1,15.5,22,15.5,12.9,6,56.878,846,87.7,11.6,7.5,4.1,0.7,2970548,2418,-478,
2010,2,Missouri,6.8,19.9,23.6,19.6,17.9,63.1,8.8,3.4,,,,149.4,1182,2.2,9.3,8.4,14.7,23.4,17,16.6,8.5,65.911,1418,82.2,17.2,12.1,5.1,0.6,5995974,7024,1369,
2010,4,Montana,5.5,10.1,13.6,22,25.7,45.7,17.1,6,,,,196.8,1217,2.6,10.6,7.9,15.2,24.8,17.9,14.7,6.3,62.191,1656,84.8,14.6,10.7,3.9,0.6,990697,1290,653,
2010,2,Nebraska,7,21.4,30.5,17.8,15.5,69.7,5.9,1.9,,,,136,1218,1.6,6.1,8,12.7,25,19.9,18.6,8.1,71.102,2482,81.5,17.7,12,5.6,0.9,1829542,3237,403,
2010,4,Nevada,3.7,12.6,19.7,20.8,23.6,53.1,14.3,5.3,,,,179.1,1638,2.6,7.2,7.5,12.3,23,17.2,19.3,10.9,71.865,1783,77.1,21.7,13.7,8,1.2,2702405,1728,-2144,
2010,1,New Hampshire,1.8,4,9,15,38.8,28,25,6.4,,,,247.6,1853,1.4,4.3,4.8,10.5,21.1,19.1,23.2,15.7,84.346,4807,72.7,26.5,21.1,5.4,0.8,1316762,300,-354,
2010,1,New Jersey,0.9,1.9,3.9,8.3,23.8,14.1,38.7,22.5,,,,346.8,2370,1.4,4.5,4.2,7.5,16.2,16.1,24.6,25.4,99.984,6963,74.5,24.6,20.5,4.1,0.9,8799446,7468,-1746,
2010,4,New Mexico,6.8,12.5,18.3,20.9,22.7,51.7,12.5,6.2,,,,174.3,1202,2.9,11,9.2,15.2,21.4,15.6,16.1,8.7,62.597,1243,85.9,13.4,8.3,5.1,0.7,2064552,5353,2456,
2010,1,New York,2.9,10.8,10.9,9.4,13.8,31.1,27.3,24.9,,,,315.1,1963,1.7,5.2,5.3,10,18.9,16.5,22.3,20.2,87.812,4399,77.3,21.9,18.5,3.4,0.8,19399878,21734,-3777,
2010,3,North Carolina,4.7,15.8,22.2,19.2,19.6,57.2,12.7,5.9,,,,165.8,1250,2.6,9,9,14.9,23.1,16.5,15.3,9.5,64.837,1382,76.9,22.3,17.5,4.8,0.8,9574323,38572,25284,
2010,2,North Dakota,10.4,18.9,24.5,21.5,18,64.9,5.2,1.4,,,,142.8,1133,0.9,4.7,7.5,12.4,25.9,21.3,20,7.3,73.191,2025,82.6,16.6,12.8,3.8,0.7,674715,2139,1253,
2010,2,Ohio,5.2,22.9,26,19.2,16.7,68.1,7.8,2.2,,,,141.7,1246,2.2,8.3,8.3,14.5,24.1,17.4,16.6,8.6,66.594,2121,73.8,25.3,19.5,5.8,0.9,11539336,2585,-5311,
2010,3,Oklahoma,9.9,26.9,26.2,16.3,12.9,69.4,5.8,2,,,,123.6,1089,2.2,10.1,8.6,15.6,24.5,16.4,15.1,7.5,62.732,1090,87.5,11.9,6.5,5.5,0.6,3759944,8362,2760,
2010,4,Oregon,2.7,3.1,8.8,16.5,32.5,28.4,25.9,10.5,,,,253.3,1577,2.4,7.1,7.5,14,23.2,17.5,18.2,10.1,70.418,2509,75,24.1,16.5,7.6,0.9,3837491,6412,2560,
2010,1,Pennsylvania,5,15.7,17.2,17.3,22.7,50.2,16.1,6,,,,182.1,1390,2.2,6.9,7.3,12.6,22.5,17.8,18.7,12,72.891,2595,75.2,23.9,19.4,4.6,0.9,12711160,8292,3742,
2010,1,Rhode Island,1.6,1.4,6,18.2,36.4,25.6,26.6,9.9,,,,258.1,1837,1.7,4.8,6.2,11,22.2,18.7,20.5,14.9,79.813,3815,71,27.7,22.7,5.1,1.3,1053959,995,493,
2010,3,South Carolina,7.8,18.4,22.3,17.8,17.1,58.5,10.7,5.9,,,,153.4,1177,2.8,10.3,8.9,14.9,23.3,16.4,15.3,8,62.767,867,80.3,19,14.5,4.5,0.7,4635649,10283,5650,
2010,2,South Dakota,9.4,17.4,24.9,20.7,16.3,63,8.8,2.6,,,,146.8,1151,1.5,5.2,10.2,12.7,27.8,20,15.9,6.6,68.243,1927,82.8,16.8,12,4.8,0.4,816166,1968,856,
2010,3,Tennessee,6,20.3,25.1,17.9,16.2,63.3,10.3,4.1,,,,147,1161,2.9,10,9.6,15.8,23.6,15.5,14.3,8.4,61.581,1080,81.2,18.1,12.4,5.7,0.6,6355311,9035,3830,
2010,3,Texas,5.9,21.4,25.2,18.6,15.8,65.2,9.2,3.9,,,,144.7,1402,2.2,7.6,7.1,12.2,21,16.7,19.4,13.9,74.935,2997,89.7,9.9,5.4,4.5,0.4,25241971,95880,42957,
2010,4,Utah,2.3,3,13.3,23.1,33.1,39.4,18.9,6.3,,,,220.9,1433,1.7,6,6,13.8,25.9,19.1,19.2,8.4,71.038,1426,77.1,22.2,14.1,8.1,0.7,2775332,11441,1418,
2010,1,Vermont,2.9,5.7,12,22,30.6,39.7,19.5,7.3,,,,222.9,1445,2.1,7.4,7.5,13.9,25.6,17.7,16.6,9.2,68.698,3588,75.3,24.1,20.5,3.6,0.6,625879,142,-125,
2010,3,Virginia,2.6,5.2,9.7,14.1,24.8,29,26.1,17.4,,,,271.5,1728,1.9,5.3,5.7,10.3,18.4,16,21.7,20.8,87.012,2158,73.3,25.8,19.2,6.6,0.9,8023699,22650,11264,
2010,4,Washington,1.9,2.7,7.7,13.7,29.6,24.1,29.3,15.1,,,,280,1736,1.9,5.4,5.7,11.1,21.6,18.5,21.6,14.2,80.24,2737,75.6,23.3,16.6,6.7,1.2,6742830,18290,8181,
2010,3,West Virginia,12.4,30.4,20.3,15.8,14.1,66.5,5.8,1.3,,,,116,918,2.8,11.5,10.2,15.9,23.4,17.3,14,5.1,59.593,648,85.1,14.5,11,3.6,0.3,1854239,1221,1404,
2010,2,Wisconsin,2.8,12.6,21.4,22.4,24.5,56.4,12.4,3.8,,,,175.6,1404,1.8,6.7,7.5,13.2,24.5,19.5,18.3,8.5,71.063,3244,73.7,25.3,19,6.3,1,5690475,3190,-2286,
2010,4,Wyoming,5.4,7.5,17.6,23,27.2,48.1,13.1,6.2,,,,191.6,1300,1.8,6.3,5.8,11.6,25.1,18.1,22,9.4,74.26,1189,83.4,16.2,7.1,9.1,0.4,564487,712,-56,
2010,X,Puerto Rico,1.3,22.7,31.6,21.2,14.1,75.5,6.5,2.6,,,,140.1,851,8.1,24.1,14.2,19.4,18.3,6.8,6,3,37.217,773,95.5,4.1,1,3.1,0.4,3721525,-4632,-7097,
2011,3,Alabama,8.7,22.4,22.2,18.5,16.2,63.1,8.7,3.4,,,,142.2,1134,3.2,10.5,8.6,14.1,21.7,16.9,16.4,8.7,65.045,585,84.2,15.2,11.3,3.9,0.6,4799069,13632,2772,0.578433568
2011,4,Alaska,2,2.9,6.2,17.6,36.3,26.7,27.7,7.3,,,,255,1794,0.6,3.7,3,8.6,17.9,19.7,26.3,20.2,94.966,3074,87.4,12,8.6,3.4,0.6,722128,8218,422,0.58772818
2011,4,Arizona,5.2,18,21.7,18,18.1,57.7,13.2,5.9,,,,161.1,1365,3.3,9.4,8.2,14.2,21.1,15.5,17.4,10.9,66.79,1434,80.3,19,14.2,4.9,0.7,6472643,65471,27551,4.278167039
2011,3,Arkansas,11,29.6,22,16,12.5,67.6,6.7,2.1,,,,120.7,988,3.5,11,9.1,16.1,22.6,15.2,15.2,7.4,60.34,732,91.1,8.5,5.3,3.2,0.4,2940667,18703,9658,3.294766462
2011,4,California,1.6,3.8,7,9,17.9,19.8,28.5,32.2,,,,363.6,2182,2.3,6,5.3,9.8,17.3,15.3,21.6,22.3,89.279,3291,75.6,23,16.6,6.3,1.4,37638369,318867,47853,1.276797203
2011,4,Colorado,2.3,4.7,11.7,18.4,29.2,34.8,22.8,10.9,,,,238.8,1560,2.5,5.9,5.9,11.6,20.4,16.6,21.3,15.9,80.076,1530,75.9,23.2,14.3,8.9,0.9,5121108,73759,39632,7.795086315
2011,1,Connecticut,1.3,2.1,7.1,15.2,29,24.4,28.2,17.2,,,,282.9,2052,1.8,3.7,4.5,8.4,16.7,17.1,23.3,24.5,96.239,5152,74.6,24.8,19.7,5.1,0.7,3588283,9169,869,0.242486917
2011,3,Delaware,2.6,3,9.4,18.2,34.7,30.6,26.9,5.3,,,,242.2,1567,2.3,5.6,5.9,11.5,20.1,18.5,21.4,14.7,80.856,1300,75.3,23.5,17.5,6,1.1,907381,7788,4381,4.848990633
2011,3,District of Columbia,1.1,1,2.5,4.7,16.3,8.2,33.3,41.1,,,,426.8,2224,2.5,4.1,3.6,7.2,14.4,13.1,20.4,34.9,108.425,2600,77.9,21.1,15.2,5.9,1,619800,14574,9951,16.2461858
2011,3,Florida,5.2,20,20.7,17.6,18.5,58.3,11.9,6,,,,159.1,1470,3.7,10.6,9.4,14,21.2,14.9,15.5,10.8,63.474,1882,78.6,20.4,15.7,4.7,1,19053237,207700,169141,8.925935177
2011,3,Georgia,6,18.5,22.6,18.6,18,59.7,11.8,4.5,,,,156.3,1371,3.2,9.1,7.8,12.9,21.5,15.7,17.8,12,68.998,1612,80.5,18.8,12.7,6.1,0.7,9802431,90550,28820,2.95372955
2011,4,Hawaii,0.7,1.1,2.3,3.4,11.9,6.8,32.6,47.9,,,,485.8,2221,1.3,4.4,4,9.7,19,17.3,25.8,18.5,90.916,1390,76.4,22.2,17.9,4.3,1.4,1379329,15366,6340,4.622183858
2011,4,Idaho,4.2,14.3,24.2,22.3,20.8,60.8,10.7,3.5,,,,164,1212,2.7,9.2,9.4,17.4,23.7,16.2,15.1,6.3,60.854,1290,79.9,19,13.2,5.8,1.1,1583910,13164,2069,1.311711959
2011,2,Illinois,4.2,14.2,16.5,18.1,22.6,48.8,17,7.4,,,,190.1,1646,2.1,6.7,6.5,11.3,21.4,16.9,19.9,15.2,77.246,4206,79.2,20,15.9,4.2,0.8,12867454,26951,-33876,-2.635448628
2011,2,Indiana,6,27.1,26.9,18,13.3,72,6.7,1.9,,,,129.3,1091,2.2,8.4,8.6,14.6,24.5,17.9,16.3,7.6,65.849,1137,81.2,18.3,13.5,4.7,0.6,6516528,26096,588,0.090413133
2011,2,Iowa,7.2,24.3,25.9,17.7,15.9,67.9,7,1.9,,,,133.6,1144,1.4,6.6,7.9,13.6,25,19.3,17.4,8.8,70.433,1879,81.7,17.8,12.6,5.1,0.6,3066336,15591,5939,1.941775824
2011,2,Kansas,8.3,22.3,22.6,19.3,16.7,64.2,8,2.8,,,,143.1,1252,1.5,6.5,7.4,13.5,23.2,19.1,18.3,10.4,72.387,1922,85.1,14.4,9.7,4.7,0.5,2869225,11035,-3903,-1.362918524
2011,3,Kentucky,8.3,23.6,25.7,17.1,15,66.4,7.5,2.8,,,,134.9,1092,2.9,9.5,8.6,15,22.8,17.1,16,8,64.806,1137,80.5,18.9,14.7,4.1,0.6,4369821,21640,8862,2.033034633
2011,3,Louisiana,8.3,16.6,20.7,22.3,18.9,59.6,9.6,3.4,,,,158.2,1176,3.2,9.5,8,12.7,20.2,17.3,18.3,10.8,70.365,818,87,12.3,8.1,4.2,0.7,4575625,31093,9456,2.073648513
2011,1,Maine,5.1,11.8,18.2,22,24,52,13.8,5,,,,180,1304,2.1,8.8,8.9,13.7,22.4,18.4,16.8,8.7,67.548,2215,77,22.3,18.9,3.4,0.7,1328284,655,1099,0.827587349
2011,3,Maryland,1.7,3.2,6.7,12.5,27.7,22.4,30.5,17.8,,,,293.8,1961,1.8,4.4,4.3,7.4,17.1,16.1,24.7,24.1,97.939,3152,75.2,23.6,18,5.6,1.2,5839419,50774,21004,3.612639215
2011,1,Massachusetts,1.2,1.3,4.3,9.7,26.1,15.3,38.1,19.4,,,,330.5,2042,1.5,4.4,4.3,8,16.8,16.3,25,23.6,97.523,3735,74.2,24.9,20.3,4.6,0.9,6613583,47276,28245,4.286075225
2011,2,Michigan,10.8,26.2,21.9,17.7,14.4,65.8,6.7,2.4,,,,126.6,1275,2.6,8.9,8.3,13.8,22.2,16.9,17.2,10,67.704,2351,77,22.2,17.5,4.6,0.8,9882412,4902,-19283,-1.951728352
2011,2,Minnesota,3.5,9.3,17.4,23.3,26.1,50,15.1,5.3,,,,191.4,1481,1.7,5.2,6.1,11.5,22.5,18.5,21.4,13.1,78.48,2252,74.5,24.5,17.9,6.6,1,5346143,35315,6958,1.305811942
2011,3,Mississippi,12.8,28.1,21.7,16.6,13.3,66.4,5.8,1.7,,,,119.4,1048,5.1,12.7,10.3,15.1,22,15.1,12.5,7.2,57.051,913,89.2,10.4,7.3,3.1,0.4,2978731,8183,-2448,-0.822956866
2011,2,Missouri,6.7,20.5,24.2,19.1,17.4,63.8,8.8,3.2,,,,146.8,1199,2.2,8,8.2,14.2,23.1,17.6,16.9,9.9,67.78,1448,83.1,16.3,11.6,4.6,0.6,6010275,14301,-5967,-0.993982384
2011,4,Montana,4.2,9.4,16.4,20.6,28.4,46.4,15,6,,,,198.2,1256,2.6,9,8.7,16.3,24.7,16.7,15.3,6.7,62.611,1668,83.4,16,10.8,5.2,0.6,997316,6619,3732,3.754502611
2011,2,Nebraska,6.3,20.9,30,17.6,16.5,68.5,7.1,1.7,,,,137.8,1237,1.6,5.9,6.3,13.2,23.1,20.3,18.9,10.8,74.979,2561,83.2,16.1,10.2,5.9,0.7,1840672,11130,1060,0.577622994
2011,4,Nevada,4.6,17.7,22.7,20,19.1,60.4,12.2,3.9,,,,160.4,1529,2.7,7.7,8,14.5,21.2,15.9,18.5,11.5,70.462,1610,79.8,19.4,12.5,7,0.8,2712730,10325,-5259,-1.942333848
2011,1,New Hampshire,2,4,7.8,18.2,37.8,30,25,5.3,,,,243.1,1884,1.2,4.4,5.3,8.9,19.9,18.9,24.9,16.6,87.967,5050,76.5,22.6,17.6,5,0.9,1320202,3440,1211,0.918480495
2011,1,New Jersey,1.1,2.1,4.8,9.2,25.2,16.1,36.5,20.9,,,,332.1,2397,1.4,4.3,4.1,8,15.7,15.8,24.7,26.1,100.979,7188,76.2,22.9,19,3.8,1,8828117,28671,-6959,-0.789558942
2011,4,New Mexico,6,13.1,19.5,19.8,21.6,52.4,13.8,6.1,,,,174.1,1216,3.5,10.8,8,14,21.1,15.6,16.4,10.6,65.698,1283,85.7,13.6,8.4,5.2,0.7,2080450,15898,4484,2.163569523
2011,1,New York,2.9,10.5,11.4,10,14.6,31.9,27.4,23.1,,,,303.5,1977,1.8,5.3,5.1,9.4,18.2,16.7,22.3,21.2,89.84,4606,78.9,20.2,17.1,3.1,0.9,19499241,99363,6043,0.310701124
2011,3,North Carolina,4.4,15.9,22.5,19.7,19.5,58.1,12.4,5.5,,,,165.4,1246,2.8,9.1,8.6,14.5,22.1,15.6,16.6,10.6,65.803,1405,78.8,20.5,16.3,4.2,0.7,9657592,83269,41981,4.365763888
2011,2,North Dakota,8.6,18.1,24.7,22.3,17.4,65.1,7.2,1.7,,,,147.2,1155,1.4,4.2,5.4,12.2,23.5,21.1,21.8,10.4,78.423,2012,85.2,14.1,10.5,3.6,0.7,685225,10510,7286,10.71517861
2011,2,Ohio,5.5,24.5,25.7,19,15.8,69.2,7.2,2.4,,,,137.9,1243,2.2,7.8,8.1,13.8,23.7,17.1,17.4,9.9,68.599,2141,76,23.1,17.9,5.2,0.9,11544663,5327,-21931,-1.90010405
2011,3,Oklahoma,9,27.7,25.4,17,12.7,70.1,5.9,2.4,,,,125.6,1108,2.4,8.8,8.6,14.9,23.4,16.7,17,8.2,65.792,1153,89.6,10.1,5.6,4.4,0.3,3788379,28435,13643,3.614842661
2011,4,Oregon,2.9,4.1,10.7,19.7,29.8,34.5,23.5,9.3,,,,238.6,1546,2.4,7.4,6.9,12.8,23.6,18.2,17.6,11.1,71.65,2526,77.5,21.7,15.1,6.6,0.8,3872036,34545,21653,5.617205829
2011,1,Pennsylvania,4.9,15.5,17.7,18.4,22.2,51.6,15.4,5.8,,,,178.8,1408,2.1,6.7,6.7,12.3,22.5,17.4,19.2,13.1,74.597,2653,76.8,22.4,18.5,3.9,0.8,12745815,34655,19765,1.552816075
2011,1,Rhode Island,1.4,2.7,8,18.9,35.7,29.6,23.5,9.7,,,,244.4,1842,1.7,6.1,4.7,10.4,19.7,17.9,23.7,15.8,85.772,3796,74.9,24.3,19.9,4.4,0.9,1053649,-310,-1563,-1.483198014
2011,3,South Carolina,7.2,19.1,22.8,18,16.7,59.9,10.4,5.9,,,,152.3,1175,3,10.4,8.6,14.6,22.8,15.4,16.3,8.9,63.143,894,81.9,17.4,13.3,4.1,0.7,4671994,36345,20816,4.472883199
2011,2,South Dakota,7.7,17.6,25.2,21.9,16.7,64.7,8.8,2,,,,148.8,1178,1.8,5.7,7.6,14.8,25.7,21.5,15.4,7.6,70.3,1956,84.2,15.2,10.8,4.4,0.6,823579,7413,2911,3.550552068
2011,3,Tennessee,6.1,20.7,24.5,18.7,16.7,63.9,9.3,4.1,,,,147.4,1172,2.7,10.2,9.1,14.7,22.5,16.7,15.3,8.9,63.288,1090,84.2,15.4,11.3,4.2,0.4,6399291,43980,25505,3.999340787
2011,3,Texas,5.8,22,24.9,18.3,15.9,65.2,9,4.1,,,,144.1,1398,2.2,7.6,6.8,11.9,20.2,16.4,20,14.9,76.873,3020,91,8.6,4.7,3.9,0.4,25645629,403658,189731,7.45686572
2011,4,Utah,2.4,3.8,15.6,24.7,29.7,44.1,17.9,6,,,,209.9,1418,1.5,5.5,6.4,13.4,25.9,19,18.5,9.9,72.089,1432,80.2,19,11.9,7.1,0.9,2814384,39052,2170,0.776425851
2011,1,Vermont,2.6,5.7,12.5,22.2,30.9,40.4,19.5,6.6,,,,220.7,1487,1.5,7.1,7.4,12.5,22,20.3,17.9,11.4,74.419,3647,78.3,21.4,17.8,3.6,0.3,627049,1170,562,0.897098636
2011,3,Virginia,2.1,5.9,10.8,14.8,25.1,31.5,25,16.4,,,,262.8,1707,1.7,5.4,5.5,9.9,18.3,16.2,21.2,21.8,88.389,2128,76.2,23,17.2,5.8,0.8,8101155,77456,35449,4.396815004
2011,4,Washington,1.8,3.2,9,16.7,29.1,28.9,26.8,13.4,,,,263.1,1733,1.7,5.5,5.6,10.6,20.9,18.5,21.7,15.5,82.029,2826,78.3,20.7,15.3,5.3,1.1,6826627,83797,46859,6.906540181
2011,3,West Virginia,12.2,29.1,21.1,15.6,14.3,65.8,5.9,1.8,,,,118.4,937,3.6,10.9,10,15.2,21.5,15.8,15.6,7.4,61.318,696,85.3,14.3,11.1,3.2,0.4,1856301,2062,3527,1.901071003
2011,2,Wisconsin,2.9,12.9,23.2,22.3,24.1,58.4,11.3,3.4,,,,172.1,1402,2,6.4,6.6,13.3,24.4,19.3,18.7,9.4,72.203,3302,76.7,22.3,16.9,5.3,1,5705288,14813,-4429,-0.777306443
2011,4,Wyoming,4.7,9,18.9,23.2,27.5,51.1,12.5,4.2,,,,187.7,1269,1.7,5.4,7.7,11,22.7,20.1,22.5,8.8,77.66,1185,84.8,14.1,6.7,7.4,1.1,567299,2812,-215,-0.379930482
2011,X,Puerto Rico,1.7,20.9,30.9,22.2,15,74,6.9,2.4,,,,144,888,9.2,23.1,15.7,18.1,18.3,7,5.4,3.2,36.333,724,96,3.6,0.9,2.7,0.3,3678732,-42793,-53776,-14.53354931
2012,3,Alabama,8.5,23,21.7,17.9,16.8,62.6,9,3.2,,,,142.6,1104,3.2,9.8,8.9,13.7,21.5,17.1,16.7,9,65.297,597,85.4,14.2,10.1,4.1,0.5,4815588,16519,5703,1.186313771
2012,4,Alaska,2.3,2.7,7.4,14.3,38.1,24.4,28.9,6.3,,,,260.4,1831,1.2,4.5,4.4,8.3,16.5,18.8,24.4,21.8,94.352,3098,90,9.6,7,2.6,0.4,730443,8315,1029,1.416798215
2012,4,Arizona,5.7,18.3,21.9,17,18.3,57.2,12.9,5.9,,,,159.7,1320,2.8,8.1,8,13.4,22,15.4,18.4,11.9,69.604,1393,83.6,15.7,12,3.7,0.7,6554978,82335,44944,6.899801583
2012,3,Arkansas,11,28.7,22.6,16.1,13.1,67.4,6.2,2.1,,,,121.3,975,2.8,10.6,9.9,14.5,23.5,15.9,15.4,7.4,61.204,762,91.9,7.9,4.5,3.4,0.2,2952164,11497,2439,0.827785491
