Current residence,Population (1yr ago) Est,MOE,Same house (1yr ago) Est,Same state of residence (1yr ago) Est,Different state of residence (1yr ago) Total Est,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Abroad(1yr ago) Est,Region
Minnesota,"5,244,256","+/- 3,049","4,480,630","647,946","89,872",266,"1,169","4,165",279,"6,233","2,521",211,176,306,"2,575","1,776",227,231,"6,641","1,120","4,948","1,067",402,519,172,"1,259","1,092","2,631",,196,"1,549","1,020",734,540,183,513,151,"1,309","1,673","7,316","1,035",284,738,730,123,"1,597","3,237","1,155","2,619","1,013",0,"2,371","1,328",200,"17,929",343,"25,808",Midwest_states
Mississippi,"2,931,228","+/- 3,253","2,510,729","340,266","72,321","8,306","1,192",187,"4,941","3,000","1,167",71,0,0,"4,814","4,014",276,121,"3,030","1,403",114,330,407,"7,390",0,649,107,"2,495",863,,959,314,0,408,0,403,633,"1,026","2,227",0,"1,312",663,0,750,145,"1,860",56,"8,158","5,755",232,0,572,508,94,879,490,"7,912",South_states
Missouri,"5,920,858","+/- 4,730","4,968,921","786,726","145,226",819,"1,051","2,988","4,381","9,840","1,903",243,314,478,"8,317","2,492",380,830,"21,277","3,351","4,708","23,427","2,552","2,238",171,"1,359","1,395","2,610","1,701","1,183",,220,"2,636","1,060",108,"1,320",150,"2,630","1,825",848,"2,163","4,647",314,"1,639",0,954,512,"3,311","12,884","1,319",498,"3,206","1,107",177,"1,331",359,"19,985",Midwest_states
Montana,"978,507","+/- 1,744","821,709","117,752","35,630",212,650,"1,909",672,"5,756","2,185",128,71,0,"1,373",46,0,"1,458","1,094",251,169,60,321,85,76,51,59,648,"1,323",242,564,,340,548,0,0,660,246,"1,072","1,677",89,182,"1,620",419,0,110,295,111,"2,101",964,0,497,"3,250",0,357,"1,689","3,416",West_states
Nebraska,"1,802,697","+/- 2,153","1,497,138","247,005","51,290",232,35,"2,322",674,"4,430","4,182",361,177,0,"1,775","1,202",257,127,"1,820",639,"5,536","2,484",153,89,0,77,100,726,"2,254",823,"2,723",112,,232,0,143,831,111,442,777,"1,232",702,506,345,0,65,"2,936",77,"4,445",537,0,772,"1,230",73,"1,046","1,478","7,264",Midwest_states
Nevada,"2,667,364","+/- 3,181","2,030,410","517,261","102,677",150,511,"7,818",530,"35,472","2,935",648,0,0,"3,579","1,187","4,363","1,686","1,711",739,543,453,569,733,0,485,"1,275","2,202",805,946,"1,747",770,"1,129",,59,"1,528","1,220","1,204",957,37,"1,554",886,"2,629","1,567",167,312,"1,203",706,"5,224","4,500",197,"1,832","3,290",56,419,144,"17,016",West_states
New Hampshire,"1,303,865","+/- 1,720","1,118,359","141,213","39,367",152,0,544,0,"1,692",240,"3,134",0,298,"1,659",0,51,66,850,23,109,57,0,19,"3,242",49,"13,752",230,240,25,295,486,0,95,,540,276,"2,462",471,0,28,0,508,674,988,51,0,372,"1,570",279,"2,566",745,261,0,268,0,"4,926",Northeast_states
New Jersey,"8,709,933","+/- 4,515","7,841,470","684,482","127,369",616,383,"1,625",258,"8,777",807,"2,503","1,543",431,"9,841","4,588",385,91,"2,656",402,332,442,91,249,95,"4,231","2,626","1,070",322,450,727,122,261,874,705,,421,"41,374","3,052",0,"1,584",32,613,"22,225",332,"1,134",0,852,"3,434",178,57,"2,670",964,358,586,0,"56,612",Northeast_states
New Mexico,"2,039,549","+/- 2,727","1,735,950","220,663","73,605",751,969,"6,117",77,"6,547","2,852",25,391,56,"3,259","1,977",122,755,526,465,0,751,739,65,94,"1,968","2,076","1,460",179,719,138,"1,003",530,"4,192",79,160,,784,"1,793",79,"1,712","1,182","1,659",809,46,152,204,"1,269","18,511","1,601",309,290,"3,004",0,407,752,"9,331",West_states
New York,"19,171,916","+/- 7,371","16,976,205","1,779,540","269,427","1,310","5,070","2,649",362,"25,177","3,135","15,338","2,603","1,983","30,553","7,676",259,198,"6,533","2,497",477,"1,189",804,"1,321","2,270","5,912","16,855","4,779","1,649",872,"1,870",237,886,"2,077","2,636","35,333",829,,"13,322",0,"6,510","2,298","2,284","20,514","1,913","7,161",521,"1,730","9,692",910,"2,900","8,881","2,503",444,"2,354",151,"146,744",Northeast_states
North Carolina,"9,443,000","+/- 5,070","7,982,017","1,141,001","263,256","3,044","1,618","2,847",550,"16,699","1,842","3,752",479,"1,691","28,983","15,943","1,567",724,"5,657","4,132","1,077","2,192","4,419","2,180","2,259","9,881","4,052","5,789","1,839","1,187","1,932",230,516,698,"2,130","7,195","1,186","19,406",,243,"8,661","1,453","1,796","11,155",97,"23,196",362,"8,685","14,329",790,350,"25,662","2,874","3,025","2,012",870,"56,726",South_states
North Dakota,"665,654","+/- 1,209","556,222","75,720","30,100",109,"1,066",662,168,"1,411",873,30,0,175,492,799,53,69,39,45,289,114,97,374,0,121,52,298,"12,350",0,197,"1,236",328,382,0,144,380,188,637,,134,108,313,392,0,0,"1,038",273,"2,513",462,0,25,696,0,749,219,"3,612",Midwest_states
Ohio,"11,405,101","+/- 4,931","9,745,227","1,453,401","172,633","1,289","1,556","4,715",434,"8,997","2,859","1,307",15,972,"16,495","9,502",436,564,"7,092","9,438","1,270","1,016","9,159",743,291,"3,828","3,686","15,130","2,298",89,"1,171",460,"1,531","2,240",175,"2,465",515,"5,988","5,985",26,,"1,228",342,"12,012",444,"2,479",207,"4,987","7,465",485,182,"6,769","2,567","7,814","1,771",144,"33,840",Midwest_states
Oklahoma,"3,716,264","+/- 3,181","3,065,497","528,824","106,511","1,612","1,397","2,759","5,873","9,429","3,184",68,109,0,"5,438","3,159",773,611,"2,679",957,"1,108","5,024",877,"2,208",298,382,465,"1,047",599,"1,733","4,102",448,829,"1,079",69,890,"2,723","1,118","1,991",139,"1,385",,398,"1,316",119,596,83,"1,872","28,238",428,93,"2,286","2,035",221,551,"1,713","15,432",South_states
Oregon,"3,794,008","+/- 3,282","3,110,896","545,841","116,700",400,"2,027","5,264",246,"34,190","2,050",270,0,217,"2,273",688,"2,323","4,129","1,565",317,161,678,0,0,0,595,"1,471","1,159",668,735,"1,786","3,386",777,"2,805",317,544,981,"2,538","1,040",592,"1,541",821,,"1,689",0,989,741,787,"3,826","2,879",456,"1,124","22,793",358,"1,981",523,"20,571",West_states
Pennsylvania,"12,577,555","+/- 4,619","11,053,022","1,239,199","235,580",369,"2,185","3,668",807,"12,077","3,657","4,007","4,608","1,621","18,212","4,644",332,380,"4,490","2,018",227,"1,426","1,675",625,"1,621","18,281","4,455","4,961","1,491",563,"1,725",339,551,"1,810",729,"42,456","1,250","30,481","7,611",521,"14,545","1,254",918,,377,"1,315",966,"1,611","7,778","1,048",215,"10,558","2,495","4,258","1,300","1,069","49,754",Northeast_states
Rhode Island,"1,042,240","+/- 1,435","900,283","99,603","32,059",136,0,324,0,"1,697",59,"4,090",0,146,"1,336",382,274,0,"1,210",206,48,0,0,0,447,977,"8,639",77,47,0,47,0,0,297,333,"1,868",0,"4,583","1,376",62,0,199,0,560,,61,48,71,678,0,72,"1,399",160,150,0,0,"10,295",Northeast_states
South Carolina,"4,577,399","+/- 3,786","3,870,879","537,961","152,441","1,741","1,670","1,457",365,"4,691","1,867","3,998",249,38,"16,060","17,486",813,233,"4,253","2,174",703,514,"2,211","2,059",603,"5,184","3,765","3,709",818,"1,175","1,371",0,0,"1,173",486,"4,908","1,390","7,912","20,749",118,"3,883","1,458","1,020","4,689",154,,95,"3,816","4,965",455,478,"9,786","3,070","1,190","1,057",382,"16,118",South_states
South Dakota,"805,616","+/- 1,372","680,993","96,805","25,777",325,25,745,61,"1,338",807,0,0,0,251,24,75,457,80,439,"3,520",571,82,129,0,0,407,144,"4,615",201,252,560,"2,260",38,0,0,38,758,262,"2,020",160,296,122,209,0,0,,0,"1,334",0,0,224,"1,564",0,736,648,"2,041",Midwest_states
Tennessee,"6,282,706","+/- 4,009","5,299,496","801,355","159,778","8,897",343,"2,291","4,736","8,019","1,858",765,248,394,"14,168","11,065",243,333,"3,162","4,764","1,052","2,506","11,188","2,602",84,"1,450","1,733","5,529","1,504","9,029","4,342",290,187,"2,433",197,"2,230",621,"4,800","7,102",0,"4,462",669,430,"2,562",805,"4,765",63,,"8,701","2,062",0,"8,650","1,412","2,201","2,831",0,"22,077",South_states
Texas,"24,899,075","+/- 8,102","20,500,156","3,740,344","486,558","8,636","11,613","16,521","15,251","68,959","16,361",924,704,460,"26,668","16,671","3,718","2,033","20,169","6,985","3,946","11,598","5,153","31,149","1,318","4,724","7,139","13,775","6,088","7,773","12,061","1,027","4,893","8,324","1,067","7,058","11,752","16,624","12,183","2,452","8,317","22,969","4,373","7,161",975,"5,249","1,936","13,044",,"4,123",52,"13,713","8,847","2,221","5,927","1,874","172,017",South_states
Utah,"2,724,064","+/- 2,775","2,240,636","388,410","77,780",93,"1,798","8,147",316,"12,187","3,987",119,0,138,"2,097",966,932,"7,692","1,831",517,483,299,235,46,148,426,246,261,914,127,"1,255","1,929",118,"4,549",0,247,518,"1,462","1,167",0,"1,527",886,"2,525",557,0,838,875,459,"5,305",,297,"3,005","3,792",0,338,"2,126","17,238",West_states
Vermont,"619,363",+/- 779,"534,975","59,032","22,529",0,184,65,0,"1,001",326,"1,287",87,9,"2,063",496,49,0,370,0,91,0,176,0,824,300,"3,599",201,85,0,51,236,0,58,"2,760",751,0,"4,056",539,30,50,0,100,524,227,134,153,125,565,0,,400,128,0,377,52,"2,827",Northeast_states
Virginia,"7,930,773","+/- 4,735","6,752,310","870,491","259,507","2,671","3,296","3,807","1,233","17,088","3,229","2,468","1,265","10,593","18,165","11,927","2,347","1,159","7,576","2,892","1,135","2,103","2,051","2,148","1,494","24,822","4,104","5,733",462,"1,858","4,262",866,523,748,372,"6,825","1,098","17,525","23,829",201,"7,708",781,"2,137","11,796","1,543","8,339",98,"5,842","12,938","1,551",676,,"4,373","6,779","2,648",423,"48,465",South_states
Washington,"6,661,321","+/- 4,568","5,464,985","946,923","191,784","1,322","5,644","5,971",658,"39,468","4,883",642,202,243,"5,378","3,107","4,246","12,661","3,931","1,912","1,685","1,694",886,"1,011",717,629,"1,448","2,871","1,323",737,"3,727","5,094",323,"5,310",282,721,"1,012","4,140","2,143",515,"2,727","1,986","26,235","2,893",220,"3,047",866,789,"11,338","4,020",981,"7,266",,62,"2,180",638,"57,629",West_states
West Virginia,"1,833,535","+/- 1,890","1,625,125","166,168","39,609",41,"1,326",0,0,760,608,84,556,480,"1,842",485,0,88,356,366,0,161,851,60,0,"4,249",191,657,0,44,160,39,0,25,107,906,0,611,"2,552",268,"7,925",229,0,"4,908",238,647,0,"1,160",968,112,208,"4,999",192,,150,0,"2,633",South_states
Wisconsin,"5,623,196","+/- 3,124","4,824,045","691,592","93,065",552,798,"1,854",518,"4,506","1,890",359,351,98,"4,492","1,656",550,902,"20,299","2,563","2,300",752,287,331,448,"1,088",992,"6,317","16,741",810,"1,716",154,853,"1,049",69,632,123,"1,291","1,817",497,"1,674",89,"1,444","2,211",0,"1,142",235,856,"3,039",476,75,771,"1,013",256,,129,"14,494",Midwest_states
Wyoming,"556,954","+/- 1,133","444,614","82,255","28,046",172,0,"1,511",0,"2,784","4,390",0,0,0,396,745,25,942,415,132,462,532,519,107,0,51,252,570,218,0,421,"2,528","1,711",416,0,0,707,146,34,233,56,62,14,95,0,220,258,495,"1,990","3,226",75,580,556,0,0,,"2,039",West_states
Puerto Rico,"3,676,493","+/- 2,933","3,392,179","247,593","31,732",629,156,288,0,"1,177",388,899,0,0,"11,262",207,0,0,"1,642",109,0,112,254,109,0,59,"2,004",89,50,170,221,0,0,0,0,"1,244",364,"4,768",146,0,69,0,0,"1,516",684,109,0,30,977,882,0,392,0,141,585,0,"4,989",
