Year,Current residence,Region,Moved to,Num_moved
2013,West Virginia,South_states,Alabama,41.0
2013,Wisconsin,Midwest_states,Alabama,552.0
2013,Wyoming,West_states,Alabama,172.0
2013,Puerto Rico,,Alabama,629.0
2014,Alabama,South_states,Alabama,
2014,Alaska,West_states,Alabama,477.0
2014,Arizona,West_states,Alabama,416.0
2014,Arkansas,South_states,Alabama,1405.0
2014,California,West_states,Alabama,3364.0
2014,Colorado,West_states,Alabama,954.0
2014,Connecticut,Northeast_states,Alabama,896.0
2014,Delaware,South_states,Alabama,128.0
2014,District of Columbia ,South_states,Alabama,360.0
2014,Florida,South_states,Alabama,15830.0
2014,Georgia,South_states,Alabama,13840.0
2014,Hawaii,West_states,Alabama,749.0
2014,Idaho,West_states,Alabama,376.0
2014,Illinois,Midwest_states,Alabama,1397.0
2014,Indiana,Midwest_states,Alabama,1502.0
2014,Iowa,Midwest_states,Alabama,330.0
2014,Kansas,Midwest_states,Alabama,44.0
2014,Kentucky,South_states,Alabama,2161.0
2014,Louisiana,South_states,Alabama,5740.0
2014,Maine,Northeast_states,Alabama,402.0
2014,Maryland,South_states,Alabama,1641.0
2014,Massachusetts,Northeast_states,Alabama,583.0
2014,Michigan,Midwest_states,Alabama,2403.0
2014,Minnesota,Midwest_states,Alabama,266.0
2014,Mississippi,South_states,Alabama,8306.0
2014,Missouri,Midwest_states,Alabama,819.0
2014,Montana,West_states,Alabama,212.0
2014,Nebraska,Midwest_states,Alabama,232.0
2014,Nevada,West_states,Alabama,150.0
2014,New Hampshire,Northeast_states,Alabama,152.0
2014,New Jersey,Northeast_states,Alabama,616.0
2014,New Mexico,West_states,Alabama,751.0
2014,New York,Northeast_states,Alabama,1310.0
2014,North Carolina,South_states,Alabama,3044.0
2014,North Dakota,Midwest_states,Alabama,109.0
2014,Ohio,Midwest_states,Alabama,1289.0
2014,Oklahoma,South_states,Alabama,1612.0
2014,Oregon,West_states,Alabama,400.0
2014,Pennsylvania,Northeast_states,Alabama,369.0
2014,Rhode Island,Northeast_states,Alabama,136.0
2014,South Carolina,South_states,Alabama,1741.0
2014,South Dakota,Midwest_states,Alabama,325.0
2014,Tennessee,South_states,Alabama,8897.0
2014,Texas,South_states,Alabama,8636.0
2014,Utah,West_states,Alabama,93.0
2014,Vermont,Northeast_states,Alabama,0.0
2014,Virginia,South_states,Alabama,2671.0
2014,Washington,West_states,Alabama,1322.0
2014,West Virginia,South_states,Alabama,41.0
2014,Wisconsin,Midwest_states,Alabama,552.0
2014,Wyoming,West_states,Alabama,172.0
2014,Puerto Rico,,Alabama,629.0
2015,Alabama,South_states,Alabama,
2015,Alaska,West_states,Alabama,477.0
2015,Arizona,West_states,Alabama,416.0
2015,Arkansas,South_states,Alabama,1405.0
2015,California,West_states,Alabama,3364.0
2015,Colorado,West_states,Alabama,954.0
2015,Connecticut,Northeast_states,Alabama,896.0
2015,Delaware,South_states,Alabama,128.0
2015,District of Columbia ,South_states,Alabama,360.0
2015,Florida,South_states,Alabama,15830.0
2015,Georgia,South_states,Alabama,13840.0
2015,Hawaii,West_states,Alabama,749.0
2015,Idaho,West_states,Alabama,376.0
2015,Illinois,Midwest_states,Alabama,1397.0
2015,Indiana,Midwest_states,Alabama,1502.0
2015,Iowa,Midwest_states,Alabama,330.0
2015,Kansas,Midwest_states,Alabama,44.0
2015,Kentucky,South_states,Alabama,2161.0
2015,Louisiana,South_states,Alabama,5740.0
2015,Maine,Northeast_states,Alabama,402.0
2015,Maryland,South_states,Alabama,1641.0
2015,Massachusetts,Northeast_states,Alabama,583.0
2015,Michigan,Midwest_states,Alabama,2403.0
2015,Minnesota,Midwest_states,Alabama,266.0
2015,Mississippi,South_states,Alabama,8306.0
2015,Missouri,Midwest_states,Alabama,819.0
2015,Montana,West_states,Alabama,212.0
