Current residence,Region,Population (1yr ago) Est,Same house (1yr ago) Est,Same state of residence (1yr ago) Est,Different state of residence (1yr ago) Total Est,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Abroad(1yr ago) Est
Maine,Northeast_states,1313902.0,1136780.0,146735.0,27758.0,402.0,424.0,254.0,67.0,1066.0,478.0,1361.0,174.0,55.0,3025.0,844.0,62.0,0.0,311.0,259.0,337.0,56.0,484.0,115.0,,243.0,3521.0,122.0,91.0,0.0,201.0,275.0,204.0,345.0,4058.0,902.0,234.0,2339.0,1001.0,55.0,315.0,124.0,0.0,375.0,379.0,148.0,0.0,249.0,458.0,390.0,420.0,654.0,381.0,0.0,0.0,500.0,2629.0
Maryland,South_states,5716785.0,4917637.0,588879.0,164484.0,1641.0,2672.0,1124.0,273.0,8206.0,2501.0,1603.0,8340.0,23202.0,6564.0,3454.0,422.0,357.0,3300.0,431.0,160.0,781.0,396.0,1376.0,53.0,,1983.0,3572.0,820.0,403.0,1147.0,86.0,54.0,979.0,1369.0,9058.0,238.0,10736.0,5787.0,0.0,3277.0,607.0,723.0,13467.0,782.0,1710.0,49.0,2669.0,5883.0,655.0,350.0,24765.0,1542.0,4363.0,324.0,230.0,45785.0
Massachusetts,Northeast_states,6489250.0,5583650.0,706624.0,140162.0,583.0,1891.0,1572.0,206.0,14971.0,1051.0,13270.0,131.0,1539.0,11118.0,1409.0,682.0,79.0,2842.0,1891.0,307.0,0.0,340.0,0.0,4666.0,3660.0,,1624.0,2185.0,453.0,1957.0,388.0,46.0,792.0,9911.0,4709.0,161.0,20002.0,2798.0,0.0,2163.0,158.0,228.0,5316.0,6965.0,1659.0,0.0,918.0,7073.0,207.0,1526.0,4542.0,1627.0,0.0,546.0,0.0,58814.0
Michigan,Midwest_states,9762127.0,8310098.0,1291901.0,116149.0,2403.0,1040.0,3197.0,636.0,6726.0,2031.0,277.0,167.0,471.0,11646.0,3913.0,313.0,66.0,10651.0,7816.0,758.0,640.0,2353.0,1342.0,645.0,620.0,1206.0,,1275.0,656.0,2921.0,312.0,213.0,1874.0,437.0,1676.0,669.0,3135.0,2444.0,53.0,9783.0,2276.0,537.0,3134.0,653.0,1446.0,706.0,4453.0,7184.0,545.0,45.0,2073.0,1427.0,446.0,6291.0,568.0,43979.0
Minnesota,Midwest_states,5244256.0,4480630.0,647946.0,89872.0,266.0,1169.0,4165.0,279.0,6233.0,2521.0,211.0,176.0,306.0,2575.0,1776.0,227.0,231.0,6641.0,1120.0,4948.0,1067.0,402.0,519.0,172.0,1259.0,1092.0,2631.0,,196.0,1549.0,1020.0,734.0,540.0,183.0,513.0,151.0,1309.0,1673.0,7316.0,1035.0,284.0,738.0,730.0,123.0,1597.0,3237.0,1155.0,2619.0,1013.0,0.0,2371.0,1328.0,200.0,17929.0,343.0,25808.0
Mississippi,South_states,2931228.0,2510729.0,340266.0,72321.0,8306.0,1192.0,187.0,4941.0,3000.0,1167.0,71.0,0.0,0.0,4814.0,4014.0,276.0,121.0,3030.0,1403.0,114.0,330.0,407.0,7390.0,0.0,649.0,107.0,2495.0,863.0,,959.0,314.0,0.0,408.0,0.0,403.0,633.0,1026.0,2227.0,0.0,1312.0,663.0,0.0,750.0,145.0,1860.0,56.0,8158.0,5755.0,232.0,0.0,572.0,508.0,94.0,879.0,490.0,7912.0
Missouri,Midwest_states,5920858.0,4968921.0,786726.0,145226.0,819.0,1051.0,2988.0,4381.0,9840.0,1903.0,243.0,314.0,478.0,8317.0,2492.0,380.0,830.0,21277.0,3351.0,4708.0,23427.0,2552.0,2238.0,171.0,1359.0,1395.0,2610.0,1701.0,1183.0,,220.0,2636.0,1060.0,108.0,1320.0,150.0,2630.0,1825.0,848.0,2163.0,4647.0,314.0,1639.0,0.0,954.0,512.0,3311.0,12884.0,1319.0,498.0,3206.0,1107.0,177.0,1331.0,359.0,19985.0
Montana,West_states,978507.0,821709.0,117752.0,35630.0,212.0,650.0,1909.0,672.0,5756.0,2185.0,128.0,71.0,0.0,1373.0,46.0,0.0,1458.0,1094.0,251.0,169.0,60.0,321.0,85.0,76.0,51.0,59.0,648.0,1323.0,242.0,564.0,,340.0,548.0,0.0,0.0,660.0,246.0,1072.0,1677.0,89.0,182.0,1620.0,419.0,0.0,110.0,295.0,111.0,2101.0,964.0,0.0,497.0,3250.0,0.0,357.0,1689.0,3416.0
Nebraska,Midwest_states,1802697.0,1497138.0,247005.0,51290.0,232.0,35.0,2322.0,674.0,4430.0,4182.0,361.0,177.0,0.0,1775.0,1202.0,257.0,127.0,1820.0,639.0,5536.0,2484.0,153.0,89.0,0.0,77.0,100.0,726.0,2254.0,823.0,2723.0,112.0,,232.0,0.0,143.0,831.0,111.0,442.0,777.0,1232.0,702.0,506.0,345.0,0.0,65.0,2936.0,77.0,4445.0,537.0,0.0,772.0,1230.0,73.0,1046.0,1478.0,7264.0
Nevada,West_states,2667364.0,2030410.0,517261.0,102677.0,150.0,511.0,7818.0,530.0,35472.0,2935.0,648.0,0.0,0.0,3579.0,1187.0,4363.0,1686.0,1711.0,739.0,543.0,453.0,569.0,733.0,0.0,485.0,1275.0,2202.0,805.0,946.0,1747.0,770.0,1129.0,,59.0,1528.0,1220.0,1204.0,957.0,37.0,1554.0,886.0,2629.0,1567.0,167.0,312.0,1203.0,706.0,5224.0,4500.0,197.0,1832.0,3290.0,56.0,419.0,144.0,17016.0
New Hampshire,Northeast_states,1303865.0,1118359.0,141213.0,39367.0,152.0,0.0,544.0,0.0,1692.0,240.0,3134.0,0.0,298.0,1659.0,0.0,51.0,66.0,850.0,23.0,109.0,57.0,0.0,19.0,3242.0,49.0,13752.0,230.0,240.0,25.0,295.0,486.0,0.0,95.0,,540.0,276.0,2462.0,471.0,0.0,28.0,0.0,508.0,674.0,988.0,51.0,0.0,372.0,1570.0,279.0,2566.0,745.0,261.0,0.0,268.0,0.0,4926.0
New Jersey,Northeast_states,8709933.0,7841470.0,684482.0,127369.0,616.0,383.0,1625.0,258.0,8777.0,807.0,2503.0,1543.0,431.0,9841.0,4588.0,385.0,91.0,2656.0,402.0,332.0,442.0,91.0,249.0,95.0,4231.0,2626.0,1070.0,322.0,450.0,727.0,122.0,261.0,874.0,705.0,,421.0,41374.0,3052.0,0.0,1584.0,32.0,613.0,22225.0,332.0,1134.0,0.0,852.0,3434.0,178.0,57.0,2670.0,964.0,358.0,586.0,0.0,56612.0
New Mexico,West_states,2039549.0,1735950.0,220663.0,73605.0,751.0,969.0,6117.0,77.0,6547.0,2852.0,25.0,391.0,56.0,3259.0,1977.0,122.0,755.0,526.0,465.0,0.0,751.0,739.0,65.0,94.0,1968.0,2076.0,1460.0,179.0,719.0,138.0,1003.0,530.0,4192.0,79.0,160.0,,784.0,1793.0,79.0,1712.0,1182.0,1659.0,809.0,46.0,152.0,204.0,1269.0,18511.0,1601.0,309.0,290.0,3004.0,0.0,407.0,752.0,9331.0
New York,Northeast_states,19171916.0,16976205.0,1779540.0,269427.0,1310.0,5070.0,2649.0,362.0,25177.0,3135.0,15338.0,2603.0,1983.0,30553.0,7676.0,259.0,198.0,6533.0,2497.0,477.0,1189.0,804.0,1321.0,2270.0,5912.0,16855.0,4779.0,1649.0,872.0,1870.0,237.0,886.0,2077.0,2636.0,35333.0,829.0,,13322.0,0.0,6510.0,2298.0,2284.0,20514.0,1913.0,7161.0,521.0,1730.0,9692.0,910.0,2900.0,8881.0,2503.0,444.0,2354.0,151.0,146744.0
North Carolina,South_states,9443000.0,7982017.0,1141001.0,263256.0,3044.0,1618.0,2847.0,550.0,16699.0,1842.0,3752.0,479.0,1691.0,28983.0,15943.0,1567.0,724.0,5657.0,4132.0,1077.0,2192.0,4419.0,2180.0,2259.0,9881.0,4052.0,5789.0,1839.0,1187.0,1932.0,230.0,516.0,698.0,2130.0,7195.0,1186.0,19406.0,,243.0,8661.0,1453.0,1796.0,11155.0,97.0,23196.0,362.0,8685.0,14329.0,790.0,350.0,25662.0,2874.0,3025.0,2012.0,870.0,56726.0
North Dakota,Midwest_states,665654.0,556222.0,75720.0,30100.0,109.0,1066.0,662.0,168.0,1411.0,873.0,30.0,0.0,175.0,492.0,799.0,53.0,69.0,39.0,45.0,289.0,114.0,97.0,374.0,0.0,121.0,52.0,298.0,12350.0,0.0,197.0,1236.0,328.0,382.0,0.0,144.0,380.0,188.0,637.0,,134.0,108.0,313.0,392.0,0.0,0.0,1038.0,273.0,2513.0,462.0,0.0,25.0,696.0,0.0,749.0,219.0,3612.0
Ohio,Midwest_states,11405101.0,9745227.0,1453401.0,172633.0,1289.0,1556.0,4715.0,434.0,8997.0,2859.0,1307.0,15.0,972.0,16495.0,9502.0,436.0,564.0,7092.0,9438.0,1270.0,1016.0,9159.0,743.0,291.0,3828.0,3686.0,15130.0,2298.0,89.0,1171.0,460.0,1531.0,2240.0,175.0,2465.0,515.0,5988.0,5985.0,26.0,,1228.0,342.0,12012.0,444.0,2479.0,207.0,4987.0,7465.0,485.0,182.0,6769.0,2567.0,7814.0,1771.0,144.0,33840.0
Oklahoma,South_states,3716264.0,3065497.0,528824.0,106511.0,1612.0,1397.0,2759.0,5873.0,9429.0,3184.0,68.0,109.0,0.0,5438.0,3159.0,773.0,611.0,2679.0,957.0,1108.0,5024.0,877.0,2208.0,298.0,382.0,465.0,1047.0,599.0,1733.0,4102.0,448.0,829.0,1079.0,69.0,890.0,2723.0,1118.0,1991.0,139.0,1385.0,,398.0,1316.0,119.0,596.0,83.0,1872.0,28238.0,428.0,93.0,2286.0,2035.0,221.0,551.0,1713.0,15432.0
Oregon,West_states,3794008.0,3110896.0,545841.0,116700.0,400.0,2027.0,5264.0,246.0,34190.0,2050.0,270.0,0.0,217.0,2273.0,688.0,2323.0,4129.0,1565.0,317.0,161.0,678.0,0.0,0.0,0.0,595.0,1471.0,1159.0,668.0,735.0,1786.0,3386.0,777.0,2805.0,317.0,544.0,981.0,2538.0,1040.0,592.0,1541.0,821.0,,1689.0,0.0,989.0,741.0,787.0,3826.0,2879.0,456.0,1124.0,22793.0,358.0,1981.0,523.0,20571.0
Pennsylvania,Northeast_states,12577555.0,11053022.0,1239199.0,235580.0,369.0,2185.0,3668.0,807.0,12077.0,3657.0,4007.0,4608.0,1621.0,18212.0,4644.0,332.0,380.0,4490.0,2018.0,227.0,1426.0,1675.0,625.0,1621.0,18281.0,4455.0,4961.0,1491.0,563.0,1725.0,339.0,551.0,1810.0,729.0,42456.0,1250.0,30481.0,7611.0,521.0,14545.0,1254.0,918.0,,377.0,1315.0,966.0,1611.0,7778.0,1048.0,215.0,10558.0,2495.0,4258.0,1300.0,1069.0,49754.0
Rhode Island,Northeast_states,1042240.0,900283.0,99603.0,32059.0,136.0,0.0,324.0,0.0,1697.0,59.0,4090.0,0.0,146.0,1336.0,382.0,274.0,0.0,1210.0,206.0,48.0,0.0,0.0,0.0,447.0,977.0,8639.0,77.0,47.0,0.0,47.0,0.0,0.0,297.0,333.0,1868.0,0.0,4583.0,1376.0,62.0,0.0,199.0,0.0,560.0,,61.0,48.0,71.0,678.0,0.0,72.0,1399.0,160.0,150.0,0.0,0.0,10295.0
South Carolina,South_states,4577399.0,3870879.0,537961.0,152441.0,1741.0,1670.0,1457.0,365.0,4691.0,1867.0,3998.0,249.0,38.0,16060.0,17486.0,813.0,233.0,4253.0,2174.0,703.0,514.0,2211.0,2059.0,603.0,5184.0,3765.0,3709.0,818.0,1175.0,1371.0,0.0,0.0,1173.0,486.0,4908.0,1390.0,7912.0,20749.0,118.0,3883.0,1458.0,1020.0,4689.0,154.0,,95.0,3816.0,4965.0,455.0,478.0,9786.0,3070.0,1190.0,1057.0,382.0,16118.0
