Year,NAME,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Median Real Estate Taxes ($),Region,Population,Net Population Change,Net Migration,Net Migration Change
2012,Oregon,3.0,4.2,12.5,19.6,29.6,22.7,8.4,231.5,19.6,5.5,14.1,0.9,79.5,2.4,6.9,6.6,12.6,22.9,17.5,19.8,11.3,73.328,1544,2591,4,3899001,26965,15097,3.8854531260000003
2012,Pennsylvania,5.1,15.9,18.0,18.1,22.3,14.7,5.9,176.7,20.3,3.5,16.9,0.8,78.9,2.1,6.6,6.4,11.5,21.5,18.1,20.2,13.7,77.138,1382,2725,1,12767118,21303,6422,0.503430946
2012,Rhode Island,1.7,3.1,9.9,21.5,33.5,21.8,8.6,236.4,22.8,5.1,17.7,0.7,76.5,2.1,5.6,4.9,10.3,19.4,18.0,22.7,17.1,84.818,1774,3918,1,1054621,972,-667,-0.63274628
2012,South Carolina,7.4,19.0,22.3,18.4,16.9,11.0,5.0,153.0,15.9,3.9,12.0,0.7,83.5,2.8,8.8,8.2,14.7,22.9,16.3,16.0,10.2,65.791,1155,886,3,4717354,45360,29431,6.269018892999999
2012,South Dakota,8.0,16.8,25.4,20.0,18.7,9.0,2.1,149.7,12.2,3.0,9.2,0.6,87.2,1.7,5.9,7.7,14.7,24.7,20.5,16.4,8.4,69.582,1174,1988,2,833566,9987,5397,6.513612267
2012,Tennessee,6.5,21.0,24.6,17.7,16.8,9.5,4.0,145.8,13.8,4.2,9.6,0.5,85.7,2.6,10.2,9.4,14.9,22.7,15.8,15.1,9.4,62.902,1143,1127,3,6453898,54607,34546,5.3754753
2012,Texas,5.9,21.5,24.7,18.6,15.6,9.4,4.3,145.4,7.7,3.6,4.1,0.3,92.0,2.2,6.8,6.7,11.7,19.7,16.3,20.5,16.0,78.895,1374,3021,3,26084481,438852,226699,8.764682696
2012,Utah,2.2,4.2,18.3,24.5,28.8,16.0,5.9,202.2,17.3,6.7,10.6,0.5,82.2,1.7,5.5,5.9,13.2,24.6,19.0,19.8,10.4,74.12,1396,1448,4,2853375,38991,4114,1.45172016
2012,Vermont,2.5,5.3,12.8,20.1,33.7,18.7,6.9,225.3,20.6,2.4,18.2,0.6,78.7,1.9,6.2,6.7,12.1,24.2,18.9,19.7,10.1,73.468,1478,3758,1,626090,-959,-1544,-2.464211871
2012,Virginia,2.3,6.5,10.6,15.7,24.0,24.1,16.8,257.4,21.4,5.3,16.1,0.7,78.0,1.8,5.5,5.2,9.7,18.0,15.9,21.6,22.5,90.00399999999999,1670,2108,3,8185080,83925,41160,5.054575229
2012,Washington,2.1,3.8,10.2,17.8,28.8,24.9,12.4,249.3,19.2,5.2,13.9,0.9,79.9,1.8,5.3,5.4,10.7,20.2,17.3,22.5,16.9,83.287,1715,2848,4,6897058,70431,33476,4.878573066
2012,West Virginia,11.4,27.9,22.8,16.2,13.5,6.4,1.7,119.9,13.0,2.7,10.3,0.3,86.7,2.6,10.6,8.9,14.9,23.3,17.4,15.3,7.2,62.698,931,711,3,1856872,571,1538,0.828402016
2012,Wisconsin,3.2,14.0,22.9,22.0,23.5,11.1,3.3,169.5,20.8,5.4,15.3,0.8,78.4,1.7,6.1,6.5,12.6,23.5,19.5,20.2,9.8,74.471,1376,3322,2,5719960,14672,-4770,-0.834992816
2012,Wyoming,4.5,6.7,15.2,25.5,27.0,15.0,6.0,195.7,12.0,5.6,6.4,0.3,87.6,2.0,6.3,5.3,10.7,21.5,21.3,21.1,11.8,79.938,1297,1216,4,576305,9006,5729,10.01920245
2012,Puerto Rico,1.7,18.7,34.1,21.8,14.7,6.0,2.9,143.1,3.4,2.5,0.9,0.2,96.3,8.0,23.6,14.7,19.7,18.4,7.3,5.0,3.3,37.209,881,682,X,3634488,-44244,-54784,-14.98218295
