Region,NAME,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017,Population 2018,Net Pop Chg 2010,Net Pop Chg 2011,Net Pop Chg 2012,Net Pop Chg 2013,Net Pop Chg 2014,Net Pop Chg 2015,Net Pop Chg 2016,Net Pop Chg 2017,Net Pop Chg 2018,Net Migration 2010,Net Migration 2011,Net Migration 2012,Net Migration 2013,Net Migration 2014,Net Migration 2015,Net Migration 2016,Net Migration 2017,Net Migration 2018,%Net Migration 2011,%Net Migration 2012,%Net Migration 2013,%Net Migration 2014,%Net Migration 2015,%Net Migration 2016,%Net Migration 2017,%Net Migration 2018
3,Mississippi,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2418,8183,5085,4895,1757,-1997,-533,572,-7490,-478,-2448,-5583,-2997,-6380,-9109,-7182,-4998,-12762,-0.822956866,-1.872689641,-1.0035952959999999,-2.1340722530000003,-3.047028913,-2.403449965,-1.672565377,-4.275713498
2,Missouri,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,7024,14301,14092,16348,15487,15530,15403,19535,14953,1369,-5967,-5351,-934,-2775,744,-205,7211,3058,-0.993982384,-0.88926617,-0.154826963,-0.458794584,0.122691961,-0.033720247,1.182731723,0.500151575
4,Montana,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1290,6619,6467,9786,8300,8606,10384,11623,8183,653,3732,3345,6965,5238,5659,7845,9648,6284,3.7545026110000004,3.343162932,6.905091427,5.146803783999999,5.514670055,7.574828589,9.217800635,5.94752755
2,Nebraska,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,3237,11130,12631,11976,14042,11956,14339,10331,9667,403,1060,2176,2205,3339,1748,3908,1043,-54,0.577622994,1.178134665,1.185935929,1.78336805,0.927173886,2.058525221,0.545849957,-0.028113572000000003
4,Nevada,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,1728,10325,31266,31974,41658,49311,50624,52342,57436,-2144,-5259,16760,18122,27307,35254,37516,40501,46658,-1.942333848,6.142877616,6.565982472000001,9.763661958,12.40340733,12.9712117,13.75837627,15.55980862
1,New Hampshire,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,300,3440,4030,2390,6719,3009,5957,6480,4678,-354,1211,2345,806,5779,2752,5489,6616,5076,0.918480495,1.7735364169999999,0.608105916,4.345173222,2.061661818,4.098322406,4.916959423,3.756866495
1,New Jersey,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,7468,28671,16825,12030,7553,3424,2878,14698,500,-1746,-6959,-18503,-18948,-25416,-27315,-28928,-12205,-24811,-0.789558942,-2.093921601,-2.140785454,-2.868380702,-3.080788389,-3.2615553630000003,-1.3747193119999999,-2.792215648
4,New Mexico,2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,5353,15898,6859,4964,-2705,-277,2339,154,957,2456,4484,-3597,-5034,-11999,-8695,-4728,-5423,-3807,2.163569523,-1.7261074840000001,-2.408853326,-5.738620861,-4.16142301,-2.261702625,-2.59261933,-1.81956136
1,New York,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,21734,99363,73691,51515,26602,3617,-21238,-43856,-59221,-3777,6043,-18818,-35115,-61469,-82040,-105667,-120168,-125303,0.310701124,-0.963243073,-1.79170143,-3.1301450660000003,-4.174456564,-5.379085073,-6.127425235,-6.406096454
3,North Carolina,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,38572,83269,91884,93860,89551,98759,123142,113445,113382,25284,41981,51023,58114,52201,66008,91339,84870,86828,4.365763888,5.258187378,5.932175535,5.279167817,6.612526324,9.049542876,8.311209199,8.409553426
